2020-01-26,"(i) Case identification, contact tracing and related measures","Tracing and tracking (Contact tracing)"
2020-01-28,"(i) Case identification, contact tracing and related measures","Quarantine (Nationals who travelled to at risk areas)"
2020-01-29,"(i) Case identification, contact tracing and related measures","Border health check ()"
2020-01-30,"(iv) Resource allocation","Emergency response mechanisms (Risk management plan)"
2020-02-19,"(vi) Social distancing","Return operation of nationals (Return operation of nationals in Wuhan and/or Hubei)"
2020-02-26,"(i) Case identification, contact tracing and related measures","Airport health check (Health screening of passengers); Airport health check (Specific health channel for travellers)"
2020-02-26,"(iii) Healthcare and public health capacity","Repurpose hospitals (Some hospitals dedicated to covid19 patients)"
2020-02-26,"(v) Risk communication","Educate and actively communicate with the public (Respiratory etiquette); Educate and actively communicate with the public (Encourage hand hygiene)"
2020-02-29,"(v) Risk communication","Educate and actively communicate with the public (Information campaign); Educate and actively communicate with the public (Answer to questions)"
2020-03-12,"(i) Case identification, contact tracing and related measures","Quarantine (All incomings from high-risk areas)"
2020-03-12,"(iii) Healthcare and public health capacity","Increase availability of PPE (Prohibition of export of protective personal equipment)"
2020-03-12,"(iv) Resource allocation","Emergency response mechanisms (Risk management plan)"
2020-03-12,"(v) Risk communication","Educate and actively communicate with the public (Promote the 2m distance)"
2020-03-12,"(vi) Social distancing","Mass gathering cancellation (Limit up to 1000 persons); Mass gathering cancellation (Limit up to 250 persons); Mass gathering cancellation (Sport events)"
2020-03-13,"(vi) Social distancing","Closure of educational institutions (Complete closure of primary and secondary schools)"
2020-03-14,"(ii) Environmental measures","Environmental cleaning and disinfection ()"
2020-03-14,"(iii) Healthcare and public health capacity","Enhance laboratory testing capacity (Increase laboratory facilities); Prevent contamination by body fluids (Precautions for handling and disposal of dead bodies)"
2020-03-14,"(iv) Resource allocation","Police and army interventions (In case treatment of patient is compromised)"
2020-03-14,"(vi) Social distancing","Closure of educational institutions (Complete closure of universities); Small gathering cancellation (Limit up to 30 persons); Measures for special populations (Measures to limit contact to long-term care facilities)"
2020-03-14,"(vii) Travel restriction","Border restriction (Land borders closed)"
2020-03-15,"(iv) Resource allocation","Crisis management plans (Develop all-of-society and business continuity plans)"
2020-03-15,"(v) Risk communication","Educate and actively communicate with the public ()"
2020-03-15,"(vi) Social distancing","Mass gathering cancellation (Place of worship)"
2020-03-16,"(i) Case identification, contact tracing and related measures","Surveillance (Implement community-based surveillance)"
2020-03-16,"(iv) Resource allocation","Emergency response mechanisms (Declare state of emergency)"
2020-03-16,"(v) Risk communication","Educate and actively communicate with the public (Recommendation for home office)"
2020-03-16,"(vii) Travel restriction","Border restriction (Entry ban to non-citizens); Individual movement restrictions (Non-essential movements forbidden)"
2020-03-17,"(iv) Resource allocation","Measures to ensure security of supply (Fixing price for necessity goods)"
2020-03-17,"(vi) Social distancing","Small gathering cancellation (Closure of non-essential shops); Small gathering cancellation (Closure of non-essential working places); Small gathering cancellation (Closure of restaurants/bars/cafes); Small gathering cancellation ()"
2020-03-17,"(vii) Travel restriction","Individual movement restrictions ()"
2020-03-18,"(vii) Travel restriction","Airport restriction (Cancellation of domestic flights); Public transport restriction (Public transport ban)"
2020-03-19,"(vii) Travel restriction","Individual movement restrictions (Curfew)"
2020-03-23,"(iv) Resource allocation","Emergency response mechanisms (Risk management plan)"
2020-04-06,"(iii) Healthcare and public health capacity","Personal protective measures (Mandatory use of masks)"
2020-04-07,"(vii) Travel restriction","Individual movement restrictions (Non-essential movements forbidden)"
2020-04-13,"(viii) Returning to normal life","Reactivate the economy ()"
2020-04-14,"(iii) Healthcare and public health capacity","Increase availability of PPE (Prohibition of export of protective personal equipment); Increase in medical supplies and equipment (Ban on exportation of medical equipment and drugs); Increase in medical supplies and equipment (Facilitate import)"
