2020-02-01,"(iii) Healthcare and public health capacity","Repurpose hospitals (Some hospitals dedicated to covid19 patients)"
2020-02-03,"(iv) Resource allocation","Emergency response mechanisms (Risk management plan)"
2020-02-04,"(i) Case identification, contact tracing and related measures","Airport health check (Temperature screening for passengers from China)"
2020-02-04,"(v) Risk communication","Educate and actively communicate with the public (Information campaign)"
2020-02-24,"(v) Risk communication","Educate and actively communicate with the public (Respiratory etiquette); Travel alert and warning (Warning against travel to and return from high risk areas); Educate and actively communicate with the public (Promote health check if respiratory symptoms); Educate and actively communicate with the public (Promote the 2m distance); Educate and actively communicate with the public (Encourage hand hygiene)"
2020-02-27,"(vi) Social distancing","Mass gathering cancellation (Festivals, faith-based events)"
2020-02-28,"(vi) Social distancing","Closure of educational institutions (Reduction of excursions, out-of-house events); Measures for special populations (Measures to limit contact to hospital patients); Measures for special populations (Measures to limit contact to long-term care facilities)"
2020-03-06,"(i) Case identification, contact tracing and related measures","Tracing and tracking (Contact tracing)"
2020-03-06,"(vii) Travel restriction","Airport restriction (Landing bans on aircrafts from high risk areas)"
2020-03-08,"(vi) Social distancing","Mass gathering cancellation (Sport events)"
2020-03-09,"(vi) Social distancing","Measures for special populations (Measures to limit contact to hospital patients); Mass gathering cancellation (Limit up to 1000 persons)"
2020-03-10,"(vi) Social distancing","Closure of educational institutions (Complete closure of kindergartens); Closure of educational institutions (Complete closure of primary and secondary schools); Closure of educational institutions (Complete closure of universities)"
2020-03-13,"(vi) Social distancing","Mass gathering cancellation (Cultural places and events); Small gathering cancellation (Closure of restaurants/bars/cafes)"
2020-03-14,"(vi) Social distancing","Mass gathering cancellation (Outdoor activities)"
2020-03-14,"(vii) Travel restriction","Airport restriction (Cancellation of international flights)"
2020-03-16,"(i) Case identification, contact tracing and related measures","Quarantine (All incomings)"
2020-03-16,"(vi) Social distancing","Mass gathering cancellation (Place of worship)"
2020-03-16,"(vii) Travel restriction","Border restriction (Land borders closed); Airport restriction (Cancellation of international flights); Port and ship restriction (Deny entry to boats with more than 100 passengers)"
2020-03-18,"(vi) Social distancing","Small gathering cancellation (Closure of non-essential shops); Small gathering cancellation (Limit up to 10 persons)"
2020-03-19,"(vi) Social distancing","Return operation of nationals (Return operation of nationals in regions at risk:  Italy, Spain, Poland, Germany, Morocco, Iraq, Northern Macedonia, Urkraine)"
2020-03-21,"(vii) Travel restriction","Non-essential travels forbidden (Non-essential travel to Greek islands fordidden)"
2020-03-22,"(vi) Social distancing","Mass gathering cancellation (Closure of non-essential public places); Small gathering cancellation (Closure of short-term accomodation)"
2020-03-23,"(iii) Healthcare and public health capacity","Increase healthcare workforce (Mobilization of domestic resources for health); Increase patient capacity (Increase ICU capacity); Increase patient capacity (Beds)"
2020-03-23,"(vii) Travel restriction","Individual movement restrictions (Non-essential movements forbidden); Airport restriction (Landing bans on aircrafts from high risk areas)"
