2020-03-11,"(iv) Resource allocation","Emergency response mechanisms (Declare state of emergency)"
2020-03-11,"(vii) Travel restriction","Border restriction (Restricted entry for people from China); Border restriction (Restricted entry for people from high-risk areas)"
2020-03-12,"(vi) Social distancing","Closure of educational institutions (Complete closure of all educational institutions); Mass gathering cancellation ()"
2020-03-15,"(vii) Travel restriction","Border restriction (Entry ban to non-citizens)"
2020-03-16,"(vii) Travel restriction","Public transport restriction (Public transport ban)"
2020-03-18,"(iii) Healthcare and public health capacity","Enhance laboratory testing capacity (Increase testing capacity (number tests)); Increase in medical supplies and equipment (Respirators, phlegm suctioning devices)"
2020-03-18,"(iv) Resource allocation","Measures to ensure security of supply (Fixing price for necessity goods)"
2020-03-20,"(iv) Resource allocation","The government provide assistance to vulnerable populations (The government provides food assistance)"
2020-03-20,"(vii) Travel restriction","Individual movement restrictions (Non-essential movements forbidden); Airport restriction (Airports closed)"
2020-03-21,"(vii) Travel restriction","Border restriction (Entry ban to non-citizens)"
2020-03-27,"(iv) Resource allocation","Crisis management plans (Develop all-of-society and business continuity plans); Measures to ensure security of supply (Fixing price for necessity goods)"
2020-03-27,"(vii) Travel restriction","Airport restriction (Cancellation of international flights)"
2020-03-29,"(vii) Travel restriction","Individual movement restrictions (Non-essential movements forbidden); Individual movement restrictions (Segmentation of the population)"
2020-04-19,"(vii) Travel restriction","Individual movement restrictions (Curfew); Individual movement restrictions (Segmentation of the population)"
