2020-01-24,"(i) Case identification, contact tracing and related measures","Airport health check (Specific health channel for travellers); Airport health check (Health screening of passengers)"
2020-01-27,"(iv) Resource allocation","Emergency response mechanisms (Risk management plan)"
2020-01-31,"(i) Case identification, contact tracing and related measures","Enhance detection system (Targeted testing)"
2020-01-31,"(v) Risk communication","Educate and actively communicate with the public (Guidance for frontline service staff)"
2020-02-06,"(v) Risk communication","Educate and actively communicate with the public (Answer to questions); Educate and actively communicate with the public (Health alert notice to international travellers)"
2020-02-28,"(iv) Resource allocation","Emergency response mechanisms (Risk management plan)"
2020-02-29,"(i) Case identification, contact tracing and related measures","Quarantine (All incomings from high-risk areas)"
2020-03-02,"(v) Risk communication","Actively communicate with healthcare professionals (Encourage healthcare workwers to avoid travel)"
2020-03-06,"(iv) Resource allocation","Emergency response mechanisms (Declare state of emergency)"
2020-03-10,"(iv) Resource allocation","Crisis management plans (Develop all-of-society and business continuity plans)"
2020-03-12,"(i) Case identification, contact tracing and related measures","Quarantine (Nationals coming from high-risk areas)"
2020-03-13,"(i) Case identification, contact tracing and related measures","Quarantine (All incomings from high-risk areas); Surveillance (Implement sentinel study)"
2020-03-13,"(v) Risk communication","Educate and actively communicate with the public (Answer to questions); Educate and actively communicate with the public (Direct government communication)"
2020-03-14,"(i) Case identification, contact tracing and related measures","Quarantine (Nationals coming from high-risk areas)"
2020-03-14,"(v) Risk communication","Educate and actively communicate with the public (Discourage non-essential travels); Travel alert and warning (Travel alert); Call for return of nationals living abroad (Governmental support provided)"
2020-03-16,"(vi) Social distancing","Mass gathering cancellation (Cultural places and events); Work safety protocols (); Closure of educational institutions (Complete closure of primary and secondary schools); Closure of educational institutions (Complete closure of universities); Closure of educational institutions (Partial closure of primary schools and pre schools); Mass gathering cancellation (Limit up to 100 persons); Mass gathering cancellation (Place of worship); Measures for special populations (Measures to limit contact to the elderly)"
2020-03-18,"(vii) Travel restriction","Border restriction (Entry ban to people from high-risk areas other than China)"
2020-03-19,"(i) Case identification, contact tracing and related measures","Quarantine (All incomings)"
2020-03-20,"(v) Risk communication","Actively communicate with stakeholders (Guidelines)"
2020-03-20,"(vii) Travel restriction","Border restriction (Entry ban to non-citizens)"
2020-03-21,"(iv) Resource allocation","Crisis management plans (Develop all-of-society and business continuity plans)"
2020-03-24,"(vi) Social distancing","Small gathering cancellation (Limit up to 20 persons)"
2020-04-21,"(iv) Resource allocation","Crisis management plans (Develop all-of-society and business continuity plans)"
2020-04-24,"(i) Case identification, contact tracing and related measures","Quarantine (All incomings)"
