2020-01-17,"(v) Risk communication","Travel alert and warning (Warning against travel to and return from high risk areas)"
2020-01-24,"(i) Case identification, contact tracing and related measures","Activate case notification (Covid-19 as a notifiable disease)"
2020-01-25,"(ii) Environmental measures","Environmental cleaning and disinfection (Guidelines for Infection Prevention and Control in Healthcare Facilities)"
2020-01-25,"(v) Risk communication","Travel alert and warning (Warning against travel to and return from high risk areas)"
2020-02-01,"(vi) Social distancing","Return operation of nationals (Return operation of nationals in Wuhan and/or Hubei)"
2020-02-05,"(i) Case identification, contact tracing and related measures","Quarantine (All incomings from high-risk areas)"
2020-02-05,"(v) Risk communication","Travel alert and warning (Warning against travel to and return from high risk areas)"
2020-02-05,"(vii) Travel restriction","Border restriction (Entry ban to people from China)"
2020-02-26,"(v) Risk communication","Travel alert and warning (Warning against travel to and return from high risk areas)"
2020-02-27,"(vi) Social distancing","Return operation of nationals (Return operation of nationals in Wuhan and/or Hubei)"
2020-03-02,"(i) Case identification, contact tracing and related measures","Quarantine (All incomings from high-risk areas)"
2020-03-02,"(v) Risk communication","Travel alert and warning (Warning against travel to and return from high risk areas)"
2020-03-02,"(vii) Travel restriction","Border restriction (Entry ban to people from high-risk areas other than China)"
2020-03-03,"(i) Case identification, contact tracing and related measures","Airport health check (Temperature screening for passengers from high-risk areas other than China)"
2020-03-03,"(vii) Travel restriction","Border restriction (Entry ban to people from high-risk areas other than China)"
2020-03-05,"(i) Case identification, contact tracing and related measures","Border health check (Test at the border)"
2020-03-06,"(i) Case identification, contact tracing and related measures","Airport health check (Temperature screening for all passengers)"
2020-03-10,"(i) Case identification, contact tracing and related measures","Airport health check (Health certificate requested); Quarantine (All incomings from high-risk areas); Border health check (For international cruise/merchandise boat personal)"
2020-03-10,"(vii) Travel restriction","Border restriction (Entry ban to people from high-risk areas other than China)"
2020-03-11,"(v) Risk communication","Educate and actively communicate with the public (Respiratory etiquette); Educate and actively communicate with the public (Encourage self-initiated quarantine)"
2020-03-13,"(i) Case identification, contact tracing and related measures","Quarantine (All incomings from high-risk areas)"
2020-03-13,"(vii) Travel restriction","Border restriction (Entry ban to non-citizens)"
2020-03-14,"(iv) Resource allocation","Emergency response mechanisms (Risk management plan)"
2020-03-15,"(i) Case identification, contact tracing and related measures","Restricted testing (Patients with symptoms or and epidemiological link); Surveillance (Implement sentinel study)"
2020-03-15,"(iii) Healthcare and public health capacity","Prevent contamination by body fluids (Precautions for handling and disposal of dead bodies)"
2020-03-15,"(vi) Social distancing","Mass gathering cancellation (Cultural places and events)"
2020-03-15,"(vii) Travel restriction","Border restriction (Close land border to prevent virus spread); Border restriction (Entry ban to non-citizens)"
2020-03-16,"(v) Risk communication","Educate and actively communicate with the public (Encourage private sector organizations/employers to allow employees to work from home wherever feasible.); Educate and actively communicate with the public (Encourage hand hygiene); Educate and actively communicate with the public (Promote the 1m distance); Educate and actively communicate with the public (Answer to questions)"
2020-03-16,"(vi) Social distancing","Mass gathering cancellation (Cultural places and events); Closure of educational institutions (Complete closure of all educational institutions); Mass gathering cancellation (Conferences, meetings, trade fairs, etc.); Mass gathering cancellation (Festivals, faith-based events); Mass gathering cancellation (Sport events); Mass gathering cancellation (Place of worship)"
2020-03-17,"(iii) Healthcare and public health capacity","Enhance laboratory testing capacity (Increase laboratory facilities)"
2020-03-17,"(v) Risk communication","Actively communicate with healthcare professionals (Sensitization of hospital, medico-social and liberal health professionals)"
