2020-02-11,"(iii) Healthcare and public health capacity","Increase availability of PPE (PPE (not specified))"
2020-02-11,"(v) Risk communication","Educate and actively communicate with the public (Encourage self-initiated quarantine)"
2020-02-20,"(i) Case identification, contact tracing and related measures","Activate case notification (Covid-19 as a notifiable disease)"
2020-02-26,"(v) Risk communication","Educate and actively communicate with the public (Respiratory etiquette)"
2020-02-28,"(i) Case identification, contact tracing and related measures","Tracing and tracking (Contact tracing)"
2020-03-02,"(iii) Healthcare and public health capacity","Increase availability of PPE (Face masks)"
2020-03-06,"(vi) Social distancing","Measures for special populations (Measures to limit contact to hospital patients)"
2020-03-10,"(v) Risk communication","Educate and actively communicate with the public (Encourage self-initiated quarantine)"
2020-03-12,"(iii) Healthcare and public health capacity","Increase in medical supplies and equipment (Ventilators)"
2020-03-12,"(v) Risk communication","Educate and actively communicate with the public (Recommendation for home office); Educate and actively communicate with the public (Encourage stay at home); Educate and actively communicate with the public (Encourage self-initiated quarantine)"
2020-03-12,"(vi) Social distancing","Closure of educational institutions (Complete closure of kindergartens); Closure of educational institutions (Complete closure of primary and secondary schools); Closure of educational institutions (Complete closure of universities); Mass gathering cancellation (Cultural places and events); Mass gathering cancellation (Limit up to 100 persons); Mass gathering cancellation (Limit up to 500 persons); Measures for special populations (Measures to limit contact to hospital patients); Measures for special populations (Measures to limit contact to long-term care facilities); Measures for special populations (Prisons); Work safety protocols ()"
2020-03-13,"(v) Risk communication","Educate and actively communicate with the public (Information campaign); Educate and actively communicate with the public (Recommendation for home office); Educate and actively communicate with the public (Respiratory etiquette)"
2020-03-15,"(vi) Social distancing","Small gathering cancellation (Closure of restaurants/bars/cafes)"
2020-03-16,"(iii) Healthcare and public health capacity","Enhance laboratory testing capacity (Increase testing capacity (number tests))"
2020-03-16,"(iv) Resource allocation","Emergency response mechanisms (Risk management plan)"
2020-03-16,"(v) Risk communication","Travel alert and warning (Warning against travel to and return from high risk areas)"
2020-03-17,"(iii) Healthcare and public health capacity","Increase healthcare workforce (Mobilization of domestic resources for health)"
2020-03-17,"(iv) Resource allocation","Emergency laws (Law on health)"
2020-03-17,"(vi) Social distancing","Mass gathering cancellation (Festivals, faith-based events)"
2020-03-19,"(iv) Resource allocation","Emergency response mechanisms (Risk management plan)"
2020-03-19,"(v) Risk communication","Educate and actively communicate with the public (Promote the 2m distance)"
2020-03-20,"(vii) Travel restriction","Individual movement restrictions (Non-essential movements forbidden); Non-essential travels forbidden (Emergency legislation passed to restrict individual travel)"
2020-03-24,"(iii) Healthcare and public health capacity","Repurpose hospitals (Requisition private hospitals)"
2020-03-24,"(vi) Social distancing","Mass gathering cancellation (Place of worship); Mass gathering cancellation (Sport events); Small gathering cancellation (Closure of non-essential shops); Small gathering cancellation (Closure of restaurants/bars/cafes)"
