2020-01-21,"(i) Case identification, contact tracing and related measures","Surveillance (Implement sentinel study)"
2020-01-22,"(i) Case identification, contact tracing and related measures","Airport health check (Specific health channel for travellers)"
2020-01-22,"(iv) Resource allocation","Emergency response mechanisms (Risk management plan)"
2020-01-23,"(v) Risk communication","Actively communicate with healthcare professionals (Sensitization of hospital, medico-social and liberal health professionals)"
2020-01-25,"(v) Risk communication","Actively communicate with stakeholders ()"
2020-01-27,"(v) Risk communication","Educate and actively communicate with the public (Answer to questions)"
2020-01-30,"(v) Risk communication","Educate and actively communicate with the public (Answer to questions)"
2020-01-31,"(iv) Resource allocation","Emergency response mechanisms (Declare state of emergency)"
2020-02-03,"(vi) Social distancing","Return operation of nationals (Return operation of nationals in Wuhan and/or Hubei)"
2020-02-04,"(i) Case identification, contact tracing and related measures","Border health check (All airports and all harbors)"
2020-02-04,"(v) Risk communication","Educate and actively communicate with the public (Direct government communication)"
2020-02-07,"(v) Risk communication","Educate and actively communicate with the public (Information campaign)"
2020-02-08,"(i) Case identification, contact tracing and related measures","Quarantine (Nationals who travelled to at risk areas)"
2020-02-21,"(i) Case identification, contact tracing and related measures","Quarantine (Mandatory for contacts)"
2020-02-25,"(v) Risk communication","Educate and actively communicate with the public (Information campaign)"
2020-02-25,"(vi) Social distancing","Closure of educational institutions (Extracurriculars cancelled)"
2020-02-28,"(iii) Healthcare and public health capacity","Increase availability of PPE (Face masks)"
2020-02-29,"(iv) Resource allocation","Crisis management plans (Develop all-of-society and business continuity plans)"
2020-03-01,"(v) Risk communication","Educate and actively communicate with the public (Information campaign)"
2020-03-02,"(v) Risk communication","Educate and actively communicate with the public (Answer to questions)"
2020-03-04,"(v) Risk communication","Actively communicate with stakeholders (Promote hygiene measures and social distancing)"
2020-03-05,"(vi) Social distancing","Closure of educational institutions (Complete closure of all educational institutions); Mass gathering cancellation (Cultural places and events); Mass gathering cancellation (Conferences, meetings, trade fairs, etc.); Closure of educational institutions (Extracurriculars cancelled); Special measures for certain establishments (Emergeny rooms hospitals); Measures for special populations (Measures to limit contact to the elderly); Measures for special populations (Measures to limit contact to long-term care facilities)"
2020-03-07,"(iii) Healthcare and public health capacity","Increase healthcare workforce (Mobilization of domestic resources for health)"
2020-03-08,"(ii) Environmental measures","Environmental cleaning and disinfection (Public transport)"
2020-03-08,"(iii) Healthcare and public health capacity","Reduce the burden on health system (Promote self-initiated isolation of people with mild respiratory symptoms); Personal protective measures (Enhance hand hygiene)"
2020-03-08,"(vi) Social distancing","Mass gathering cancellation (Cultural places and events); Mass gathering cancellation (Conferences, meetings, trade fairs, etc.); Special measures for certain establishments (Food services); Mass gathering cancellation (Sport events); Special measures for certain establishments (Shops); Special measures for certain establishments (Gyms, swimming pools and sports centers); Special measures for certain establishments (Place of worship)"
2020-03-09,"(iv) Resource allocation","Police and army interventions (To enforce travel restriction)"
2020-03-09,"(vii) Travel restriction","National lockdown ()"
2020-03-10,"(v) Risk communication","Educate and actively communicate with the public (Direct advice to vulnerable populations); Educate and actively communicate with the public (Encourage stay at home)"
2020-03-11,"(v) Risk communication","Educate and actively communicate with the public (Information campaign)"
2020-03-14,"(vi) Social distancing","Work safety protocols ()"
2020-03-17,"(v) Risk communication","Educate and actively communicate with the public (Information campaign)"
2020-03-18,"(i) Case identification, contact tracing and related measures","Quarantine (All incomings)"
2020-03-20,"(iii) Healthcare and public health capacity","Reduce the burden on health system (Ease prescription of regular medical products for patients)"
2020-03-20,"(vi) Social distancing","Small gathering cancellation (Closure of non-essential public places)"
2020-03-20,"(vii) Travel restriction","Individual movement restrictions (No movements allowed before and during holidays)"
2020-03-22,"(vi) Social distancing","Small gathering cancellation (Closure of non-essential working places); Small gathering cancellation (Closure of non-essential shops)"
2020-03-22,"(vii) Travel restriction","Individual movement restrictions (Non-essential movements forbidden)"
2020-03-26,"(iv) Resource allocation","Police and army interventions (To enforce lockdown)"
2020-03-28,"(iv) Resource allocation","Crisis management plans (Develop all-of-society and business continuity plans)"
2020-03-30,"(iii) Healthcare and public health capacity","Increase availability of PPE (Face masks)"
2020-04-01,"(iii) Healthcare and public health capacity","Research (Health research)"
2020-04-01,"(vii) Travel restriction","National lockdown (Extended)"
2020-04-06,"(vi) Social distancing","Closure of educational institutions (Rules for exams)"
2020-04-09,"(iii) Healthcare and public health capacity","Increase healthcare workforce (Mobilization of domestic resources for health)"
2020-04-10,"(v) Risk communication","Educate and actively communicate with the public (Press conference - Extention measures confinement)"
2020-04-14,"(viii) Returning to normal life","Re-opening of shops (Libraries, stationery stores and shops for babies and children)"
2020-04-17,"(i) Case identification, contact tracing and related measures","Tracing and tracking (Contact tracking)"
2020-04-20,"(iii) Healthcare and public health capacity","Increase healthcare workforce (Mobilization of domestic resources for health)"
2020-04-21,"(iii) Healthcare and public health capacity","Increase patient capacity (Increase number of medical institutions)"
2020-04-21,"(iv) Resource allocation","Crisis management plans (Financial aid for health system)"
