2020-01-21,"(v) Risk communication","Travel alert and warning (Travel alert level 1); Travel alert and warning (Travel alert level 2)"
2020-01-23,"(v) Risk communication","Travel alert and warning (Travel alert level 2)"
2020-01-24,"(v) Risk communication","Travel alert and warning (Travel alert level 3); Call for return of nationals living abroad (Wuhan)"
2020-01-25,"(v) Risk communication","Educate and actively communicate with the public (Answer to questions)"
2020-01-27,"(i) Case identification, contact tracing and related measures","Border health check (Health screening)"
2020-01-27,"(vi) Social distancing","Return operation of nationals (Return operation of nationals in Wuhan and/or Hubei)"
2020-01-28,"(i) Case identification, contact tracing and related measures","Activate case notification (Covid-19 as a notifiable disease); Quarantine (Suspected cases)"
2020-01-29,"(iii) Healthcare and public health capacity","Increase healthcare workforce (Train medical staff specially for covid-19)"
2020-01-29,"(vi) Social distancing","Return operation of nationals (Return operation of nationals in Wuhan and/or Hubei)"
2020-01-30,"(iv) Resource allocation","Emergency response mechanisms (Risk management plan)"
2020-01-31,"(iv) Resource allocation","Emergency response mechanisms (Disaster Relief for prevention of spread of the infection); Emergency response mechanisms (Risk management plan)"
2020-01-31,"(vi) Social distancing","Return operation of nationals (Return operation of nationals in Wuhan and/or Hubei)"
2020-02-01,"(i) Case identification, contact tracing and related measures","Enhance detection system (Extended testing)"
2020-02-01,"(vii) Travel restriction","Border restriction (Entry ban to infected persons); Border restriction (Entry ban to people with a travel history to China); Border restriction (Entry ban to people from China)"
2020-02-06,"(iv) Resource allocation","Provide international help (Assistance on the cruise ship Diamond Princess)"
2020-02-06,"(vii) Travel restriction","Port and ship restriction (Deny entry to boats with more than 100 passengers)"
2020-02-07,"(vii) Travel restriction","Airport restriction (Cancellation of international flights)"
2020-02-08,"(vi) Social distancing","Return operation of nationals (Return operation of nationals in Wuhan and/or Hubei)"
2020-02-12,"(iv) Resource allocation","Crisis management plans (Develop all-of-society and business continuity plans)"
2020-02-13,"(i) Case identification, contact tracing and related measures","Quarantine (Asymptomatic carriers)"
2020-02-13,"(iii) Healthcare and public health capacity","Enhance laboratory testing capacity (Increase testing capacity (number tests)); Increase patient capacity (Increase number of medical institutions); Research (Simple diagnostic kits, antiviral drugs, vaccines); Increase patient capacity (Beds); Increase availability of PPE (Face masks); Increase healthcare workforce (Mobilization of domestic resources for health)"
2020-02-13,"(iv) Resource allocation","Crisis management plans (Develop all-of-society and business continuity plans); Provide international help (Donating isolated viruses around the world for further research and PPE for Asian Countries)"
2020-02-13,"(vii) Travel restriction","Border restriction (Entry ban to people from high-risk areas other than China)"
2020-02-14,"(iii) Healthcare and public health capacity","Increase patient capacity (Increase medical consultation capacity); Increase patient capacity (Increase number of medical institutions)"
2020-02-14,"(v) Risk communication","Travel alert and warning (Travel alert level 3); Educate and actively communicate with the public (Encourage hand hygiene); Educate and actively communicate with the public (Respiratory etiquette); Educate and actively communicate with the public (Discourage gathering)"
2020-02-16,"(iii) Healthcare and public health capacity","Increase patient capacity (Increase number of medical institutions)"
2020-02-16,"(iv) Resource allocation","Emergency response mechanisms (Declare state of emergency); Crisis management plans (Develop all-of-society and business continuity plans)"
2020-02-17,"(v) Risk communication","Actively communicate with healthcare professionals (Sensitization of hospital, medico-social and liberal health professionals)"
2020-02-17,"(vi) Social distancing","Return operation of nationals (Return operation of nationals in Wuhan and/or Hubei); Mass gathering cancellation (Festivals, faith-based events); Mass gathering cancellation (Sport events)"
2020-02-18,"(iii) Healthcare and public health capacity","Reduce the burden on health system (Promote self-initiated isolation of people with mild respiratory symptoms)"
2020-02-18,"(v) Risk communication","Actively communicate with stakeholders (Risk assessment before an event); Actively communicate with stakeholders (Flexibilization of working hours/school hours); Educate and actively communicate with the public (Recommendation for home office)"
2020-02-23,"(i) Case identification, contact tracing and related measures","Tracing and tracking (Contact tracking)"
2020-02-23,"(iii) Healthcare and public health capacity","Research (Clinical trials on COVID-19)"
2020-02-25,"(i) Case identification, contact tracing and related measures","Tracing and tracking (Contact tracing); Quarantine (Contact persons)"
2020-02-25,"(iii) Healthcare and public health capacity","Case management (Prioritize care)"
2020-02-25,"(v) Risk communication","Educate and actively communicate with the public (Respiratory etiquette); Educate and actively communicate with the public (Discourage gathering); Educate and actively communicate with the public (Promote health check if respiratory symptoms); Educate and actively communicate with the public (Encourage sick leave if any symptoms); Educate and actively communicate with the public (); Educate and actively communicate with the public (Use of public transport)"
2020-02-26,"(v) Risk communication","Actively communicate with stakeholders (Encourage event cancellation)"
