2020-02-19,"(vii) Travel restriction","Airport restriction (Cancellation of international flights)"
2020-02-22,"(vi) Social distancing","Return operation of nationals (Return operation of nationals in Iran)"
2020-02-22,"(vii) Travel restriction","Individual movement restrictions (Curfew)"
2020-02-24,"(i) Case identification, contact tracing and related measures","Quarantine (All incomings from high-risk areas); Isolation of cases ()"
2020-02-24,"(vii) Travel restriction","Airport restriction (Cancellation of international flights)"
2020-02-26,"(ii) Environmental measures","Environmental cleaning and disinfection (Airplanes)"
2020-02-28,"(vi) Social distancing","Return operation of nationals (Return operation of nationals in Italy)"
2020-02-29,"(vi) Social distancing","Measures for special populations (Measures to limit contact to long-term care facilities)"
2020-03-01,"(i) Case identification, contact tracing and related measures","Airport health check (Temperature screening for passengers from high-risk areas other than China); Quarantine (All incomings from high-risk areas); Airport health check (Test travellers with fever or symptoms)"
2020-03-01,"(iii) Healthcare and public health capacity","Increase availability of PPE (Face masks)"
2020-03-01,"(vi) Social distancing","Closure of educational institutions (Complete closure of kindergartens); Closure of educational institutions (Complete closure of primary and secondary schools); Closure of educational institutions (Complete closure of universities); Mass gathering cancellation (Sport events)"
2020-03-02,"(iii) Healthcare and public health capacity","Increase availability of PPE (Face masks)"
2020-03-03,"(i) Case identification, contact tracing and related measures","Airport health check (Health certificate requested)"
2020-03-05,"(v) Risk communication","Educate and actively communicate with the public (Answer to questions)"
2020-03-05,"(vii) Travel restriction","Airport restriction (Landing bans on aircrafts from high risk areas)"
2020-03-08,"(i) Case identification, contact tracing and related measures","Quarantine (All workers who have been in quarantine should not come back to work)"
2020-03-09,"(vi) Social distancing","Mass gathering cancellation (Cultural places and events); Mass gathering cancellation (Sport events)"
2020-03-10,"(v) Risk communication","Educate and actively communicate with the public (Information campaign)"
2020-03-12,"(vi) Social distancing","Return operation of nationals (Return operation of nationals in United Kingdom); Small gathering cancellation (Mandatory home office)"
2020-03-13,"(v) Risk communication","Educate and actively communicate with the public (Encourage self-initiated quarantine)"
2020-03-14,"(vi) Social distancing","Small gathering cancellation (Closure of non-essential shops)"
2020-03-15,"(iii) Healthcare and public health capacity","Increase availability of PPE (Face masks)"
2020-03-17,"(i) Case identification, contact tracing and related measures","Quarantine (All incomings from high-risk areas)"
2020-03-22,"(iii) Healthcare and public health capacity","Enhance laboratory testing capacity (Increase testing capacity (number tests))"
2020-03-22,"(v) Risk communication","Educate and actively communicate with the public (Answer to questions)"
2020-03-25,"(v) Risk communication","Call for return of nationals living abroad ()"
