2020-02-02,"(i) Case identification, contact tracing and related measures","Tracing and tracking (Contact tracing)"
2020-02-02,"(vi) Social distancing","Return operation of nationals (Return operation of nationals in China)"
2020-02-09,"(vi) Social distancing","Return operation of nationals (Return operation of nationals in China)"
2020-02-21,"(vi) Social distancing","Return operation of nationals (Return operation of nationals on Westerdam)"
2020-02-27,"(i) Case identification, contact tracing and related measures","Tracing and tracking (Contact tracing)"
2020-02-28,"(v) Risk communication","Educate and actively communicate with the public (Respiratory etiquette); Educate and actively communicate with the public (Answer to questions)"
2020-03-01,"(vi) Social distancing","Measures for special populations (Measures to limit contact to hospital patients)"
2020-03-02,"(i) Case identification, contact tracing and related measures","Tracing and tracking (Contact tracing)"
2020-03-02,"(vi) Social distancing","Measures for special populations (Measures to limit contact to hospital patients)"
2020-03-03,"(i) Case identification, contact tracing and related measures","Tracing and tracking (Contact tracing)"
2020-03-03,"(v) Risk communication","Educate and actively communicate with the public (Information campaign); Travel alert and warning (Warning against travel to and return from high risk areas)"
2020-03-09,"(v) Risk communication","Educate and actively communicate with the public (Encourage hand hygiene); Educate and actively communicate with the public (Respiratory etiquette)"
2020-03-12,"(v) Risk communication","Educate and actively communicate with the public (Recommendation for home office); Educate and actively communicate with the public (Encourage stay at home); Educate and actively communicate with the public (Communication targets protection of vulnerable populations); Educate and actively communicate with the public (Information campaign)"
2020-03-12,"(vi) Social distancing","Closure of educational institutions (Partial closure of universities); Mass gathering cancellation (Cultural places and events); Mass gathering cancellation (Limit up to 100 persons); Mass gathering cancellation (Sport events)"
2020-03-13,"(vi) Social distancing","Measures for special populations (Prisons and juvenile facilities)"
2020-03-13,"(vii) Travel restriction","Airport restriction (Landing bans on aircrafts from high risk areas)"
2020-03-15,"(iv) Resource allocation","Crisis management plans (State aid, taxation and social security); Crisis management plans (Develop all-of-society and business continuity plans)"
2020-03-15,"(v) Risk communication","Educate and actively communicate with the public (Promote the 2m distance)"
2020-03-15,"(vi) Social distancing","Small gathering cancellation (Closure of restaurants/bars/cafes); Small gathering cancellation (Implement part-time work); Mass gathering cancellation (Indoor activities)"
2020-03-16,"(vi) Social distancing","Closure of educational institutions (Complete closure of kindergartens); Closure of educational institutions (Complete closure of primary and secondary schools)"
2020-03-17,"(iv) Resource allocation","Crisis management plans (State aid, taxation and social security); Police and army interventions (To support the population); Crisis management plans (Develop all-of-society and business continuity plans)"
2020-03-17,"(v) Risk communication","Educate and actively communicate with the public (Discourage non-essential travels)"
2020-03-17,"(vi) Social distancing","Closure of educational institutions (Rules for exams); Mass gathering cancellation (Implement e-learning)"
2020-03-18,"(i) Case identification, contact tracing and related measures","Surveillance (Implement sentinel study)"
2020-03-18,"(vii) Travel restriction","Border restriction (Entry ban to non EU citizens)"
2020-03-19,"(iv) Resource allocation","The government provide assistance to vulnerable populations (The government provides food assistance)"
2020-03-20,"(iv) Resource allocation","Crisis management plans (Develop all-of-society and business continuity plans)"
2020-03-20,"(vi) Social distancing","Measures for special populations (Measures to limit contact to long-term care facilities)"
2020-03-22,"(v) Risk communication","Educate and actively communicate with the public (Information campaign)"
2020-03-23,"(iii) Healthcare and public health capacity","Increase in medical supplies and equipment (Respirators)"
