2020-02-14,"(iv) Resource allocation","Provide international help (Funding to support global efforts)"
2020-02-27,"(v) Risk communication","Educate and actively communicate with the public (Encourage hand hygiene); Educate and actively communicate with the public (Respiratory etiquette)"
2020-03-12,"(i) Case identification, contact tracing and related measures","Quarantine (All incomings from high-risk areas)"
2020-03-12,"(iii) Healthcare and public health capacity","Increase healthcare workforce (Travel ban for healthcare professionals)"
2020-03-12,"(v) Risk communication","Educate and actively communicate with the public (Discourage gathering); Educate and actively communicate with the public (Discourage non-essential travels); Educate and actively communicate with the public (Recommendation for home office); Educate and actively communicate with the public (Promote the 2m distance); Educate and actively communicate with the public (Use of public transport)"
2020-03-12,"(vi) Social distancing","Closure of educational institutions (Complete closure of primary and secondary schools); Closure of educational institutions (Complete closure of universities); Mass gathering cancellation (Complete prohibition of gathering); Mass gathering cancellation (Cultural places and events); Mass gathering cancellation (Indoor activities); Mass gathering cancellation (Sport events); Measures for special populations (Measures to limit contact to long-term care facilities); Measures for special populations (Prisons); Small gathering cancellation (Closure of non-essential shops); Small gathering cancellation (Closure of restaurants/bars/cafes)"
2020-03-12,"(vii) Travel restriction","National lockdown ()"
2020-03-13,"(iii) Healthcare and public health capacity","Increase healthcare workforce (Mobilization of domestic resources for health); Increase in medical supplies and equipment (Measures to secure necessary equipment and personnel); Increase healthcare workforce (Exception to work law allowed)"
2020-03-13,"(iv) Resource allocation","Crisis management plans (State aid, taxation and social security); Crisis management plans (Develop all-of-society and business continuity plans)"
2020-03-13,"(v) Risk communication","Travel alert and warning (Warning against travel to and return from high risk areas)"
2020-03-13,"(vii) Travel restriction","Border restriction (Entry ban to non-citizens)"
2020-03-14,"(iv) Resource allocation","Crisis management plans (State aid, taxation and social security)"
2020-03-14,"(v) Risk communication","Educate and actively communicate with the public (Discourage non-essential travels)"
2020-03-15,"(i) Case identification, contact tracing and related measures","Quarantine (Contact persons)"
2020-03-16,"(iv) Resource allocation","Crisis management plans (Develop all-of-society and business continuity plans)"
2020-03-16,"(v) Risk communication","Educate and actively communicate with the public (Information campaign)"
2020-03-18,"(iv) Resource allocation","Crisis management plans (Develop all-of-society and business continuity plans)"
2020-03-19,"(vii) Travel restriction","Individual movement restrictions (Prohibition of moving out the municipality of residence)"
2020-03-21,"(iv) Resource allocation","Emergency laws (Law to ease the passing of laws)"
2020-03-22,"(iv) Resource allocation","Crisis management plans (Develop all-of-society and business continuity plans)"
2020-03-23,"(iv) Resource allocation","Provide international help (Funding to support global efforts)"
2020-03-27,"(i) Case identification, contact tracing and related measures","Tracing and tracking (Contact tracking via mobile phone app)"
2020-03-27,"(iii) Healthcare and public health capacity","Research (Vaccine); Reduce the burden on health system (Simplification of the health journey)"
2020-03-27,"(iv) Resource allocation","Emergency response mechanisms (Risk management plan); Police and army interventions (Police forces recruitment and training); Police and army interventions (For cybersecurity); Crisis management plans (Develop all-of-society and business continuity plans); Crisis management plans (State aid, taxation and social security); Crisis management plans (Financial aid for health system)"
2020-03-28,"(vii) Travel restriction","Individual movement restrictions (Prohibition of moving out the municipality of residence)"
2020-03-31,"(iii) Healthcare and public health capacity","Increase in medical supplies and equipment (Respirators)"
2020-03-31,"(iv) Resource allocation","Provide international help (Funding to support global efforts)"
2020-04-06,"(iv) Resource allocation","Crisis management plans (Develop all-of-society and business continuity plans); Crisis management plans (State aid, taxation and social security)"
2020-04-07,"(viii) Returning to normal life","Government communication (Phase-out strategy plan starts)"
2020-04-09,"(iv) Resource allocation","Crisis management plans (Develop all-of-society and business continuity plans)"
2020-04-15,"(iv) Resource allocation","Provide international help (Funding to support global efforts)"
2020-04-18,"(iv) Resource allocation","Provide international help (Donate equipment)"
2020-04-18,"(v) Risk communication","Educate and actively communicate with the public (Information campaign)"
2020-04-20,"(viii) Returning to normal life","Access to healthcare services (); Special relief for movements ()"
2020-04-27,"(viii) Returning to normal life","Re-opening of daycare centres (); Conditional re-opening of educational institutions (); Conditional re-opening of services ()"
2020-04-30,"(iv) Resource allocation","Crisis management plans (Develop all-of-society and business continuity plans)"
