2020-02-04,"(i) Case identification, contact tracing and related measures","Quarantine (Contact persons); Tracing and tracking (Contact tracking)"
2020-02-12,"(i) Case identification, contact tracing and related measures","Quarantine (All incomings from high-risk areas); Airport health check (Health screening of passengers); Restricted testing (Patients with symptoms or and epidemiological link)"
2020-02-12,"(v) Risk communication","Educate and actively communicate with the public (Guidelines for self-quarantine)"
2020-02-17,"(v) Risk communication","Actively communicate with healthcare professionals (Sensitization of hospital, medico-social and liberal health professionals); Educate and actively communicate with the public (Guidelines)"
2020-02-20,"(v) Risk communication","Educate and actively communicate with the public (Encourage self-initiated quarantine)"
2020-02-21,"(v) Risk communication","Travel alert and warning (Warning against travel to and return from high risk areas)"
2020-02-21,"(vii) Travel restriction","Airport restriction (Cancellation of international flights)"
2020-02-23,"(vii) Travel restriction","Cordon sanitaire (Voluntary lockdown of affected cities and provinces)"
2020-02-24,"(vi) Social distancing","Closure of educational institutions (Partial closure of kindergartens); Closure of educational institutions (Partial closure of primary and secondary schools)"
2020-02-24,"(vii) Travel restriction","Border restriction (Entry ban to people from China)"
2020-02-26,"(v) Risk communication","Educate and actively communicate with the public (Answer to questions)"
2020-02-27,"(v) Risk communication","Educate and actively communicate with the public (Respiratory etiquette); Educate and actively communicate with the public (Information campaign)"
2020-02-28,"(i) Case identification, contact tracing and related measures","Border health check (Health declaration)"
2020-02-28,"(iv) Resource allocation","Crisis management plans (Develop all-of-society and business continuity plans)"
2020-02-28,"(v) Risk communication","Actively communicate with healthcare professionals (Health agencies and emergency healthcare)"
2020-02-29,"(v) Risk communication","Educate and actively communicate with the public (Information campaign)"
2020-03-01,"(iii) Healthcare and public health capacity","Personal protective measures (Mandatory use of masks); Reduce the burden on health system (Promote self-initiated isolation of people with mild respiratory symptoms)"
2020-03-01,"(v) Risk communication","Educate and actively communicate with the public (Respiratory etiquette); Educate and actively communicate with the public (Encourage stay at home)"
2020-03-02,"(iii) Healthcare and public health capacity","Case management (Implement triage procedures); Case management (Prioritize care)"
2020-03-02,"(v) Risk communication","Educate and actively communicate with the public (Encourage hand hygiene); Educate and actively communicate with the public (Respiratory etiquette); Educate and actively communicate with the public (Guidelines for self-quarantine); Actively communicate with healthcare professionals (Provide documentation)"
2020-03-07,"(v) Risk communication","Actively communicate with stakeholders (Organize notification)"
2020-03-08,"(v) Risk communication","Educate and actively communicate with the public (Discourage gathering)"
2020-03-10,"(iii) Healthcare and public health capacity","Research (Antibody research)"
2020-03-11,"(i) Case identification, contact tracing and related measures","Airport health check (Specific health channel for travellers); Tracing and tracking (Tracking and monitoring travellers)"
2020-03-11,"(v) Risk communication","Educate and actively communicate with the public (Recommendation for home office)"
2020-03-12,"(vi) Social distancing","Work safety protocols (Businesses)"
2020-03-15,"(i) Case identification, contact tracing and related measures","Airport health check (Specific health channel for travellers)"
2020-03-16,"(i) Case identification, contact tracing and related measures","Airport health check (Specific health channel for travellers)"
2020-03-16,"(v) Risk communication","Educate and actively communicate with the public (Avoid indoor close-contact)"
2020-03-19,"(i) Case identification, contact tracing and related measures","Airport health check (Temperature screening for all passengers); Airport health check (Health declaration)"
2020-03-19,"(v) Risk communication","Educate and actively communicate with the public (Discourage non-essential travels)"
2020-03-20,"(v) Risk communication","Travel alert and warning (Warning against travel to and return from high risk areas)"
2020-03-22,"(i) Case identification, contact tracing and related measures","Airport health check (Test travellers with fever or symptoms); Border health check (Test at the border)"
2020-03-22,"(v) Risk communication","Educate and actively communicate with the public (Promote social distancing measures)"
2020-03-22,"(vi) Social distancing","Mass gathering cancellation (Indoor activities)"
2020-03-23,"(v) Risk communication","Educate and actively communicate with the public (Answer to questions)"
2020-03-25,"(iv) Resource allocation","Police and army interventions (To enforce quarantine)"
2020-03-25,"(v) Risk communication","Educate and actively communicate with the public (Encourage disinfection of the environment); Educate and actively communicate with the public (Encourage self-initiated quarantine)"
2020-03-27,"(i) Case identification, contact tracing and related measures","Border health check (Test at the border if symptomatic)"
2020-03-30,"(i) Case identification, contact tracing and related measures","Quarantine (All incomings from high-risk areas)"
2020-04-01,"(i) Case identification, contact tracing and related measures","Border health check (Test at the border if symptomatic); Quarantine (Nationals who travelled to at risk areas)"
2020-04-02,"(iii) Healthcare and public health capacity","Research (Vaccine and antiviral development)"
2020-04-04,"(v) Risk communication","Actively communicate with stakeholders (Promote hygiene measures and social distancing); Actively communicate with stakeholders (Promote the 2m distance); Actively communicate with stakeholders (Encourage self-initiated quarantine)"
2020-04-05,"(iv) Resource allocation","Police and army interventions (To enforce quarantine)"
2020-04-06,"(iii) Healthcare and public health capacity","Increase availability of PPE (PPE for healthcare professionals); Increase availability of PPE (Increase domestic production of PPE); Increase availability of PPE (Full-body PPE)"
2020-04-06,"(v) Risk communication","Actively communicate with healthcare professionals (Guidelines)"
2020-04-08,"(iii) Healthcare and public health capacity","Increase patient capacity (Medicalise nursing home); Increase patient capacity (Increase number of medical institutions)"
2020-04-10,"(v) Risk communication","Actively communicate with stakeholders (Promote hygiene measures and social distancing)"
2020-04-11,"(v) Risk communication","Educate and actively communicate with the public (Communication targets protection of vulnerable populations); Educate and actively communicate with the public (Promote social distancing measures); Educate and actively communicate with the public (Guidelines)"
2020-04-11,"(vi) Social distancing","Measures for special populations (Vulnerable populations)"
