2020-01-21,"(v) Risk communication","Educate and actively communicate with the public ()"
2020-01-22,"(i) Case identification, contact tracing and related measures","Airport health check (Health screening of passengers)"
2020-01-22,"(iii) Healthcare and public health capacity","Case management (Prepare to treat patients); Increase availability of PPE (PPE for healthcare professionals in airports)"
2020-01-22,"(iv) Resource allocation","Emergency response mechanisms (Risk management plan)"
2020-01-22,"(v) Risk communication","Actively communicate with healthcare professionals (Health agencies and emergency healthcare); Actively communicate with healthcare professionals (Sensitization of hospital, medico-social and liberal health professionals); Educate and actively communicate with the public (Information campaign)"
2020-01-22,"(vi) Social distancing","Measures for special populations (More exposed professionals (not healthcare))"
2020-01-25,"(v) Risk communication","Educate and actively communicate with the public ()"
2020-02-04,"(iii) Healthcare and public health capacity","Increase in medical supplies and equipment (Inventory, restock, and acquisition of medical devices, protective equipment, face masks, and biocides necessary for hospitals)"
2020-02-07,"(v) Risk communication","Educate and actively communicate with the public ()"
2020-02-09,"(vi) Social distancing","Return operation of nationals (Return operation of nationals in China)"
2020-02-10,"(i) Case identification, contact tracing and related measures","Quarantine (All incomings from high-risk areas)"
2020-02-10,"(iii) Healthcare and public health capacity","Increase isolation and quarantine facilities (Quarantine facilities implemented for travellers coming from affected areas)"
2020-02-18,"(iv) Resource allocation","Emergency response mechanisms (Risk management plan)"
2020-02-24,"(i) Case identification, contact tracing and related measures","Quarantine (All incomings from high-risk areas); Airport health check (Specific health channel for travellers)"
2020-02-24,"(v) Risk communication","Educate and actively communicate with the public ()"
2020-02-24,"(vi) Social distancing","Closure of educational institutions (Partial closure of educational institutions); Measures for special populations (Prisons)"
2020-02-27,"(iii) Healthcare and public health capacity","Enhance laboratory testing capacity (Increase testing capacity (number tests)); Increase in medical supplies and equipment (themal scanners)"
2020-02-27,"(v) Risk communication","Educate and actively communicate with the public (Answer to questions)"
2020-03-01,"(v) Risk communication","Educate and actively communicate with the public (Answer to questions)"
2020-03-02,"(v) Risk communication","Educate and actively communicate with the public (Encourage hand hygiene)"
2020-03-03,"(v) Risk communication","Actively communicate with stakeholders (Strengthen border control)"
2020-03-04,"(vi) Social distancing","Closure of educational institutions (school class suspended due to one positive pupil)"
2020-03-05,"(v) Risk communication","Educate and actively communicate with the public (Direct communication from health authorities)"
2020-03-05,"(vi) Social distancing","Measures for special populations (More exposed professionals (not healthcare))"
2020-03-06,"(v) Risk communication","Educate and actively communicate with the public (Direct government communication)"
2020-03-07,"(v) Risk communication","Educate and actively communicate with the public (Research of contacts)"
2020-03-08,"(vi) Social distancing","Mass gathering cancellation (Limit up to 1000 persons)"
2020-03-08,"(vii) Travel restriction","Airport restriction (Cancellation of international flights)"
2020-03-09,"(i) Case identification, contact tracing and related measures","Tracing and tracking (Contact tracking); Quarantine (All incomings from high-risk areas)"
2020-03-09,"(ii) Environmental measures","Environmental cleaning and disinfection (Supermarkets and stores); Environmental cleaning and disinfection (Private and public transport)"
2020-03-09,"(v) Risk communication","Educate and actively communicate with the public (Recommendation for home office)"
2020-03-09,"(vi) Social distancing","Closure of educational institutions (Partial closure of educational institutions); Mass gathering cancellation (Sport events); Measures for special populations (Measures to limit contact to hospital patients)"
2020-03-09,"(vii) Travel restriction","Airport restriction (Cancellation of international flights)"
2020-03-10,"(i) Case identification, contact tracing and related measures","Quarantine (All incomings from high-risk areas)"
2020-03-10,"(iii) Healthcare and public health capacity","Increase patient capacity (Postponement of non-essential care and non-urgent operations in hospitals)"
2020-03-10,"(vi) Social distancing","Closure of educational institutions (Partial closure of educational institutions)"
2020-03-10,"(vii) Travel restriction","Border restriction (Travel ban to high-risk areas)"
2020-03-11,"(v) Risk communication","Educate and actively communicate with the public (Information campaign)"
2020-03-11,"(vi) Social distancing","Closure of educational institutions (Complete closure of kindergartens); Closure of educational institutions (Complete closure of primary and secondary schools)"
2020-03-12,"(v) Risk communication","Call for return of nationals living abroad (); Educate and actively communicate with the public (Information campaign)"
2020-03-12,"(vii) Travel restriction","Public transport restriction (Train restriction)"
2020-03-13,"(vi) Social distancing","Measures for special populations (More exposed professionals (not healthcare))"
2020-03-14,"(v) Risk communication","Actively communicate with stakeholders (Advice for certain workers)"
2020-03-14,"(vi) Social distancing","Mass gathering cancellation (Limit up to 50 persons)"
2020-03-16,"(iv) Resource allocation","Emergency response mechanisms (Declare state of emergency)"
2020-03-16,"(v) Risk communication","Educate and actively communicate with the public (Information campaign)"
2020-03-17,"(iii) Healthcare and public health capacity","Case management (Implement triage procedures)"
2020-03-18,"(iii) Healthcare and public health capacity","Increase in medical supplies and equipment (Ban on exportation of medical equipment and drugs); Increase patient capacity (Emergency hospitals)"
2020-03-18,"(v) Risk communication","Actively communicate with stakeholders (Advice for certain workers)"
2020-03-18,"(vi) Social distancing","Mass gathering cancellation (Conferences, meetings, trade fairs, etc.); Mass gathering cancellation (Cultural places and events); Mass gathering cancellation (Festivals, faith-based events); Mass gathering cancellation (Limit up to 100 persons); Mass gathering cancellation (Sport events); Small gathering cancellation (Closure of restaurants/bars/cafes)"
2020-03-18,"(vii) Travel restriction","Airport restriction (Cancellation of international flights)"
2020-03-19,"(ii) Environmental measures","Environmental cleaning and disinfection (Hospitals)"
2020-03-20,"(iv) Resource allocation","Police and army interventions (To enforce quarantine)"
