2020-01-29,"(vi) Social distancing","Mass gathering cancellation (Cultural places and events)"
2020-01-29,"(vii) Travel restriction","Airport restriction (Cancellation of international flights)"
2020-02-02,"(vi) Social distancing","Return operation of nationals (Return operation of nationals in Wuhan and/or Hubei)"
2020-02-03,"(v) Risk communication","Educate and actively communicate with the public (Information campaign)"
2020-02-09,"(vi) Social distancing","Return operation of nationals (Return operation of nationals in China)"
2020-02-21,"(vi) Social distancing","Return operation of nationals (Return operation of nationals on Westerdam cruise ship)"
2020-02-24,"(v) Risk communication","Educate and actively communicate with the public (Information campaign)"
2020-02-26,"(iii) Healthcare and public health capacity","Increase patient capacity (Emergency hospitals)"
2020-03-01,"(i) Case identification, contact tracing and related measures","Tracing and tracking (Contact tracing)"
2020-03-06,"(iv) Resource allocation","Crisis management plans (Develop all-of-society and business continuity plans)"
2020-03-07,"(i) Case identification, contact tracing and related measures","Restricted testing (Triage system for tests)"
2020-03-10,"(v) Risk communication","Educate and actively communicate with the public (Recommendation for home office)"
2020-03-10,"(vi) Social distancing","Closure of educational institutions (Reduction of excursions, out-of-house events); Mass gathering cancellation (Limit up to 1000 persons)"
2020-03-13,"(v) Risk communication","Actively communicate with stakeholders (Recommendations for universities); Educate and actively communicate with the public (Use of public transport)"
2020-03-13,"(vi) Social distancing","Closure of educational institutions (Complete closure of primary and secondary schools); Mass gathering cancellation (Cultural places and events); Mass gathering cancellation (Festivals, faith-based events); Mass gathering cancellation (Sport events); Small gathering cancellation (Closure of restaurants/bars/cafes); Special measures for certain establishments (Food services); Small gathering cancellation (Closure of non-essential shops)"
2020-03-16,"(iii) Healthcare and public health capacity","Increase availability of PPE (Face masks)"
2020-03-16,"(v) Risk communication","Educate and actively communicate with the public (Direct government communication)"
2020-03-18,"(iv) Resource allocation","Police and army interventions (To enforce social distancing)"
2020-03-18,"(vi) Social distancing","Small gathering cancellation (Complete prohibition of gathering); Small gathering cancellation (Closure of non-essential shops)"
2020-03-18,"(vii) Travel restriction","National lockdown (); Individual movement restrictions (Non-essential movements forbidden); Border restriction (Entry ban to non EU citizens)"
2020-03-25,"(iii) Healthcare and public health capacity","Increase availability of PPE (Face masks)"
2020-03-26,"(v) Risk communication","Educate and actively communicate with the public (Advice for certain workers)"
2020-04-09,"(v) Risk communication","Educate and actively communicate with the public (Information campaign)"
2020-04-10,"(iii) Healthcare and public health capacity","Enhance laboratory testing capacity (Increase testing capacity (number tests))"
2020-04-15,"(v) Risk communication","Educate and actively communicate with the public (Respiratory etiquette)"
2020-04-15,"(vii) Travel restriction","National lockdown (Extended)"
2020-04-15,"(viii) Returning to normal life","Conditional re-opening of certain shops (With adaptive measures); Special relief for movements (Measure for visiting residents of long-term facilities)"
2020-05-04,"(i) Case identification, contact tracing and related measures","Enhance detection system (Research and test of suspected cases); Tracing and tracking (Contact tracing)"
2020-05-04,"(iv) Resource allocation","Crisis management plans (Develop all-of-society and business continuity plans)"
2020-05-11,"(viii) Returning to normal life","Government communication (Phase-out strategy plan starts)"
