2020-02-27,"(v) Risk communication","Educate and actively communicate with the public (Answer to questions)"
2020-03-06,"(i) Case identification, contact tracing and related measures","Tracing and tracking (Case tracking)"
2020-03-08,"(v) Risk communication","Educate and actively communicate with the public (Respiratory etiquette)"
2020-03-12,"(vii) Travel restriction","Border restriction (Land borders closed)"
2020-03-14,"(vi) Social distancing","Measures for special populations (Measures to limit contact to hospital patients); Measures for special populations (Measures to limit contact to long-term care facilities)"
2020-03-15,"(i) Case identification, contact tracing and related measures","Quarantine (All incomings)"
2020-03-15,"(iv) Resource allocation","Police and army interventions (To enforce quarantine)"
2020-03-15,"(vi) Social distancing","Closure of educational institutions (Complete closure of all educational institutions); Closure of educational institutions (Complete closure of kindergartens); Closure of educational institutions (Complete closure of primary and secondary schools); Closure of educational institutions (Complete closure of universities)"
2020-03-15,"(vii) Travel restriction","Border restriction (Entry ban to non-citizens)"
2020-03-16,"(vi) Social distancing","Small gathering cancellation (Closure of non-essential public places)"
2020-03-17,"(i) Case identification, contact tracing and related measures","Border health check (Temperature screening)"
2020-03-17,"(v) Risk communication","Educate and actively communicate with the public (Encourage stay at home)"
2020-03-17,"(vii) Travel restriction","Individual movement restrictions (Curfew)"
2020-03-18,"(v) Risk communication","Educate and actively communicate with the public (Answer to questions)"
2020-03-18,"(vi) Social distancing","Measures for special populations (Measures to limit contact to the elderly)"
2020-03-19,"(vii) Travel restriction","Border restriction (Total entry ban); Airport restriction (Landing bans on aircrafts from high risk areas); Airport restriction (Cancellation of international flights); Airport restriction (Airports closed)"
2020-03-20,"(iv) Resource allocation","Receive international help (From Norway)"
2020-03-20,"(vii) Travel restriction","Public transport restriction (Public transport ban)"
2020-03-21,"(iv) Resource allocation","Police and army interventions (To enforce social distancing)"
2020-03-21,"(vi) Social distancing","Mass gathering cancellation (Cultural places and events); Small gathering cancellation (Closure of non-essential shops); Small gathering cancellation (Closure of restaurants/bars/cafes); Small gathering cancellation (Limit up to 5 persons)"
2020-03-21,"(vii) Travel restriction","Public transport restriction (Public transport ban)"
2020-03-22,"(iv) Resource allocation","Police and army interventions (To enforce social distancing)"
2020-03-22,"(vi) Social distancing","Small gathering cancellation (Closure of restaurants/bars/cafes); Small gathering cancellation (Closure of non-essential shops); Mass gathering cancellation (Limit up to 100 persons); Mass gathering cancellation (Complete prohibition of gathering); Mass gathering cancellation (Place of worship)"
2020-03-22,"(vii) Travel restriction","Individual movement restrictions (Curfew Extended); National lockdown ()"
2020-03-25,"(iii) Healthcare and public health capacity","Increase patient capacity (Increase number of medical institutions)"
2020-03-28,"(i) Case identification, contact tracing and related measures","Quarantine (All incomings)"
2020-03-28,"(vii) Travel restriction","Individual movement restrictions (Curfew Extended)"
