2020-01-02,"(i) Case identification, contact tracing and related measures","Activate case notification (Covid-19 as a notifiable disease)"
2020-01-03,"(i) Case identification, contact tracing and related measures","Airport health check (Temperature screening for passengers from China); Quarantine (All incomings from high-risk areas)"
2020-01-03,"(v) Risk communication","Actively communicate with stakeholders (Military personal); Educate and actively communicate with the public (Information campaign)"
2020-01-08,"(v) Risk communication","Travel alert and warning (Warning against travel to and return from high risk areas)"
2020-01-20,"(i) Case identification, contact tracing and related measures","Tracing and tracking (Case tracking); Quarantine (Suspected cases)"
2020-01-20,"(v) Risk communication","Actively communicate with healthcare professionals (Guidelines)"
2020-01-21,"(v) Risk communication","Actively communicate with stakeholders (Military personal)"
2020-01-22,"(i) Case identification, contact tracing and related measures","Airport health check (Temperature screening for passengers from China)"
2020-01-22,"(iv) Resource allocation","Emergency response mechanisms (Risk management plan)"
2020-01-22,"(v) Risk communication","Educate and actively communicate with the public (Direct communication from health authorities)"
2020-01-23,"(i) Case identification, contact tracing and related measures","Isolation of cases (); Quarantine (Contact persons); Tracing and tracking (Case tracking)"
2020-01-23,"(iv) Resource allocation","Emergency response mechanisms (Risk management plan)"
2020-01-23,"(v) Risk communication","Educate and actively communicate with the public (Promote health check if respiratory symptoms)"
2020-01-24,"(i) Case identification, contact tracing and related measures","Border health check (Temperature screening)"
2020-01-25,"(vi) Social distancing","Measures for special populations (Measures to limit contact to hospital patients)"
2020-01-27,"(i) Case identification, contact tracing and related measures","Quarantine (All incomings from high-risk areas); Airport health check (Specific health channel for travellers)"
2020-01-27,"(v) Risk communication","Travel alert and warning (Warning against travel to and return from high risk areas)"
2020-01-28,"(i) Case identification, contact tracing and related measures","Quarantine (All incomings from high-risk areas)"
2020-01-29,"(i) Case identification, contact tracing and related measures","Airport health check (Temperature screening for all passengers); Quarantine (All incomings from high-risk areas)"
2020-01-31,"(iii) Healthcare and public health capacity","Personal protective measures (Enhance hand hygiene)"
2020-02-01,"(ii) Environmental measures","Environmental cleaning and disinfection (Public places with high human traffic)"
2020-02-01,"(iii) Healthcare and public health capacity","Increase availability of PPE (Face masks)"
2020-02-01,"(vii) Travel restriction","Border restriction (Entry ban to people with a travel history to China)"
2020-02-02,"(i) Case identification, contact tracing and related measures","Isolation of cases (); Surveillance (Implement community-based surveillance)"
2020-02-02,"(v) Risk communication","Actively communicate with healthcare professionals (Guidelines); Educate and actively communicate with the public (Discourage gathering); Educate and actively communicate with the public (Encourage hand hygiene); Educate and actively communicate with the public (MOH webpage); Educate and actively communicate with the public (Promote health check if respiratory symptoms); Educate and actively communicate with the public (Respiratory etiquette)"
2020-02-05,"(vi) Social distancing","Closure of educational institutions (Reduction of excursions, out-of-house events)"
2020-02-07,"(iv) Resource allocation","Emergency response mechanisms (Risk management plan)"
