2020-01-24,"(v) Risk communication","Actively communicate with healthcare professionals (Health agencies and emergency healthcare)"
2020-01-27,"(v) Risk communication","Educate and actively communicate with the public (Answer to questions)"
2020-02-06,"(iii) Healthcare and public health capacity","Enhance laboratory testing capacity (Increase testing capacity (number tests))"
2020-02-14,"(iii) Healthcare and public health capacity","Enhance laboratory testing capacity (Increase testing capacity (number tests))"
2020-02-24,"(i) Case identification, contact tracing and related measures","Border health check (Health questionnaire)"
2020-02-26,"(v) Risk communication","Travel alert and warning (Warning against travel to and return from high risk areas)"
2020-02-27,"(iv) Resource allocation","Emergency response mechanisms (Risk management plan)"
2020-02-27,"(v) Risk communication","Educate and actively communicate with the public (Information campaign)"
2020-02-28,"(i) Case identification, contact tracing and related measures","Airport health check (Temperature screening for all passengers)"
2020-03-06,"(vi) Social distancing","Measures for special populations (Measures to limit contact to hospital patients); Measures for special populations (Measures to limit contact to long-term care facilities)"
2020-03-09,"(vi) Social distancing","Closure of educational institutions (Partial closure of universities); Closure of educational institutions (Partial closure of primary and secondary schools)"
2020-03-09,"(vii) Travel restriction","Airport restriction (Landing bans on aircrafts from high risk areas)"
2020-03-10,"(i) Case identification, contact tracing and related measures","Quarantine (All incomings from high-risk areas)"
2020-03-10,"(vi) Social distancing","Closure of educational institutions (Reduction of excursions, out-of-house events); Small gathering cancellation (All non-essential gatherings); Mass gathering cancellation (Cultural places and events); Mass gathering cancellation (Place of worship); Mass gathering cancellation (Sport events)"
2020-03-12,"(i) Case identification, contact tracing and related measures","Quarantine (All incomings)"
2020-03-12,"(vi) Social distancing","Closure of educational institutions (Complete closure of kindergartens); Closure of educational institutions (Complete closure of primary and secondary schools); Closure of educational institutions (Complete closure of universities); Mass gathering cancellation (Indoor activities); Small gathering cancellation (Closure of restaurants/bars/cafes)"
2020-03-12,"(vii) Travel restriction","Airport restriction (Cancellation of domestic flights); Airport restriction (Airports closed)"
2020-03-16,"(iv) Resource allocation","Emergency response mechanisms (Declare state of emergency)"
2020-03-16,"(vi) Social distancing","Small gathering cancellation (Closure of non-essential shops)"
2020-03-17,"(v) Risk communication","Educate and actively communicate with the public (Information campaign)"
2020-03-23,"(vi) Social distancing","Small gathering cancellation (All non-essential gatherings)"
2020-03-24,"(iii) Healthcare and public health capacity","Enhance laboratory testing capacity (Increase laboratory facilities); Personal protective measures (Mandatory use of masks)"
2020-03-24,"(v) Risk communication","Educate and actively communicate with the public (Guidelines)"
2020-03-25,"(vi) Social distancing","Mass gathering cancellation (Suspension of social services)"
2020-03-26,"(v) Risk communication","Educate and actively communicate with the public (Guidelines)"
2020-03-27,"(iii) Healthcare and public health capacity","Enhance laboratory testing capacity (Increase testing capacity (number tests))"
2020-03-30,"(viii) Returning to normal life","Conditional re-opening of certain shops (horticulture and garden equipment stores, ophthalmic optics, leasing services, bicycle shops and services, haberdashery and meter textiles, paints, varnishes, Hardware Store, collection yards, computer and telecommunication); Conditional re-opening of services (MOT and emission control services, leasing services, bicycle shops and services, notaries and lawyers, building,paints, varnishes, installation and wiring stores, collection yards, echnology service, key services)"
2020-04-03,"(i) Case identification, contact tracing and related measures","Quarantine (All incomings)"
2020-04-03,"(v) Risk communication","Actively communicate with healthcare professionals (Guidelines); Actively communicate with stakeholders (Guidelines); Educate and actively communicate with the public (Direct advice to vulnerable populations)"
2020-04-06,"(vii) Travel restriction","Border restriction (Entry ban to non-citizens)"
2020-04-07,"(v) Risk communication","Actively communicate with healthcare professionals (Guidelines)"
2020-04-08,"(vii) Travel restriction","Individual movement restrictions (Non-essential movements forbidden)"
2020-04-09,"(v) Risk communication","Actively communicate with healthcare professionals (Guidelines)"
2020-04-14,"(iv) Resource allocation","Crisis management plans (Develop all-of-society and business continuity plans)"
2020-04-15,"(viii) Returning to normal life","Conditional re-opening of educational institutions (Examinations for certain universities)"
2020-04-16,"(iii) Healthcare and public health capacity","Increase in medical supplies and equipment (Respirators); Increase availability of PPE (Protective shields)"
2020-04-17,"(v) Risk communication","Educate and actively communicate with the public (Guidelines)"
2020-04-20,"(iii) Healthcare and public health capacity","Increase availability of PPE (Face masks)"
2020-04-23,"(viii) Returning to normal life","Special relief for movements (Outdoor sport allowed)"
2020-04-24,"(viii) Returning to normal life","Special relief for movements (Segmentation of the population)"
2020-04-27,"(v) Risk communication","Actively communicate with healthcare professionals (Guidelines)"
2020-04-30,"(viii) Returning to normal life","Relaxation of quarantine conditions (For incoming travellers, person with a permanent or temporary residence permit, children <3 yo); Re-opening land border (with Austria)"
2020-05-06,"(viii) Returning to normal life","Conditional re-opening of restaurants (Outdoor gardens in restaurants); Conditional re-opening of certain shops (All shops); Re-opening of touristic sites (); Conditional re-opening of short-term accommodations (); Conditional re-opening of certain shops (Try clothes in shops is allowed); Conditional re-opening of services (Taxi service); Conditional re-opening of services (Rehabilitation services); Conditional re-opening of places of worship (With respect to social distancing and hand hygiene)"
2020-05-07,"(v) Risk communication","Educate and actively communicate with the public (Guidelines)"
