2020-02-29,"(v) Risk communication","Travel alert and warning (Warning against travel to and return from high risk areas)"
2020-03-06,"(v) Risk communication","Call for return of nationals living abroad ()"
2020-03-06,"(vi) Social distancing","Measures for special populations (Measures to limit contact to long-term care facilities)"
2020-03-07,"(vi) Social distancing","Mass gathering cancellation (Limit up to 500 persons)"
2020-03-09,"(i) Case identification, contact tracing and related measures","Airport health check (Temperature screening for all passengers); Border health check (Temperature screening)"
2020-03-09,"(iii) Healthcare and public health capacity","Increase availability of PPE (Face masks)"
2020-03-09,"(v) Risk communication","Educate and actively communicate with the public (Encourage self-initiated quarantine); Educate and actively communicate with the public (Answer to questions); Educate and actively communicate with the public (Incoming travellers); Educate and actively communicate with the public (Recommendation for home office); Educate and actively communicate with the public (Guidelines); Educate and actively communicate with the public (Encourage medical consultation by phone)"
2020-03-09,"(vi) Social distancing","Closure of educational institutions (Partial closure of universities); Mass gathering cancellation (Limit up to 500 persons)"
2020-03-10,"(vi) Social distancing","Mass gathering cancellation (Limit up to 100 persons)"
2020-03-10,"(vii) Travel restriction","Border restriction (Land border controls); Airport restriction (Landing bans on aircrafts from high risk areas)"
2020-03-11,"(i) Case identification, contact tracing and related measures","Border health check (Test at the border)"
2020-03-11,"(vi) Social distancing","Closure of educational institutions (Partial closure of primary and secondary schools)"
2020-03-11,"(vii) Travel restriction","Border restriction (Entry ban to people from high-risk areas other than China)"
2020-03-12,"(iv) Resource allocation","Emergency response mechanisms (Risk management plan); Crisis management plans (State aid, taxation and social security)"
2020-03-13,"(iii) Healthcare and public health capacity","Increase healthcare workforce (Exception to work law allowed)"
2020-03-13,"(vi) Social distancing","Measures for special populations (Prisons)"
2020-03-14,"(i) Case identification, contact tracing and related measures","Restricted testing (Patients requiring hospitalization)"
2020-03-14,"(iii) Healthcare and public health capacity","Reduce the burden on health system (Promote self-initiated isolation of people with mild respiratory symptoms)"
2020-03-14,"(iv) Resource allocation","Emergency response mechanisms (Risk management plan); Measures to ensure security of supply (Fixing price for specific protective products)"
2020-03-15,"(iii) Healthcare and public health capacity","Increase availability of PPE (PPE for care facilities for elderly); Increase healthcare workforce (Mobilization of domestic resources for health)"
2020-03-16,"(ii) Environmental measures","Environmental cleaning and disinfection (Taxi)"
2020-03-16,"(iii) Healthcare and public health capacity","Increase patient capacity (Postponement of non-essential care and non-urgent operations in hospitals)"
2020-03-16,"(v) Risk communication","Actively communicate with stakeholders (Recommendations for work safety protocols); Educate and actively communicate with the public (Promote the 2m distance)"
2020-03-16,"(vi) Social distancing","Closure of educational institutions (Complete closure of kindergartens); Closure of educational institutions (Complete closure of primary and secondary schools); Closure of educational institutions (Complete closure of universities); Mass gathering cancellation (Cultural places and events); Mass gathering cancellation (Indoor activities); Small gathering cancellation (Closure of non-essential public places); Small gathering cancellation (Closure of non-essential shops); Small gathering cancellation (Closure of restaurants/bars/cafes); Special measures for certain establishments (Food services); Special measures for certain establishments (Essential shops)"
2020-03-16,"(vii) Travel restriction","Public transport restriction (Public transport ban); Airport restriction (Cancellation of international flights)"
2020-03-19,"(i) Case identification, contact tracing and related measures","Border health check (Health screening); Border health check (Health certificate requested)"
2020-03-19,"(v) Risk communication","Educate and actively communicate with the public (Information campaign)"
2020-03-20,"(vi) Social distancing","Mass gathering cancellation (); Small gathering cancellation (All non-essential gatherings)"
2020-03-20,"(vii) Travel restriction","Individual movement restrictions (Non-essential movements forbidden)"
2020-03-21,"(iv) Resource allocation","Crisis management plans (Develop all-of-society and business continuity plans)"
2020-03-21,"(vi) Social distancing","Special measures for certain establishments (Food services)"
2020-03-23,"(iv) Resource allocation","Emergency response mechanisms (Risk management plan)"
2020-03-24,"(iv) Resource allocation","Crisis management plans (Develop all-of-society and business continuity plans)"
2020-03-25,"(v) Risk communication","Educate and actively communicate with the public (Encourage donation for covid19 crisis)"
2020-03-25,"(vii) Travel restriction","Border restriction (Land border controls)"
2020-03-29,"(ii) Environmental measures","Environmental cleaning and disinfection (Frequently touched common surfaces in multi-apartment buildings)"
2020-03-29,"(iv) Resource allocation","Crisis management plans (Develop all-of-society and business continuity plans)"
2020-03-29,"(v) Risk communication","Educate and actively communicate with the public (Encourage hand hygiene)"
2020-03-30,"(iii) Healthcare and public health capacity","Personal protective measures (Mandatory use of masks)"
2020-03-30,"(vi) Social distancing","Measures for special populations (Measures to limit contact to vulnerable populations)"
2020-03-30,"(vii) Travel restriction","Individual movement restrictions (Prohibition of moving out the municipality of residence)"
