2020-01-25,"(i) Case identification, contact tracing and related measures","Border health check (Temperature screening)"
2020-02-20,"(iii) Healthcare and public health capacity","Increase availability of PPE (Face masks)"
2020-02-23,"(iii) Healthcare and public health capacity","Increase healthcare workforce (Train medical staff specially for covid-19)"
2020-03-01,"(vii) Travel restriction","Border restriction (Entry ban to people from high-risk areas other than China)"
2020-03-08,"(vii) Travel restriction","Border restriction (Travel ban to high-risk areas)"
2020-03-09,"(vii) Travel restriction","Airport restriction (Landing bans on aircrafts from high risk areas)"
2020-03-14,"(i) Case identification, contact tracing and related measures","Isolation of cases ()"
2020-03-14,"(vi) Social distancing","Closure of educational institutions (Complete closure of kindergartens); Closure of educational institutions (Complete closure of primary and secondary schools); Closure of educational institutions (Complete closure of universities); Mass gathering cancellation (Cultural places and events); Mass gathering cancellation (Sport events); Small gathering cancellation (Closure of restaurants/bars/cafes); Small gathering cancellation (Implement part-time work)"
2020-03-15,"(ii) Environmental measures","Environmental cleaning and disinfection (Public Transport)"
2020-03-20,"(v) Risk communication","Educate and actively communicate with the public (Encourage self-initiated quarantine)"
2020-03-21,"(v) Risk communication","Educate and actively communicate with the public (Answer to questions)"
2020-03-22,"(i) Case identification, contact tracing and related measures","Isolation of cases ()"
2020-03-22,"(iii) Healthcare and public health capacity","Enhance laboratory testing capacity (Increase testing capacity (number tests))"
2020-03-22,"(vi) Social distancing","Small gathering cancellation ()"
2020-03-23,"(vii) Travel restriction","Border restriction (Land borders closed)"
2020-03-25,"(vii) Travel restriction","Individual movement restrictions (Curfew)"
