2020-01-22,"(i) Case identification, contact tracing and related measures","Airport health check (Specific health channel for travellers)"
2020-01-22,"(v) Risk communication","Educate and actively communicate with the public (Information campaign)"
2020-01-27,"(v) Risk communication","Educate and actively communicate with the public (Direct advice to vulnerable populations)"
2020-01-28,"(v) Risk communication","Educate and actively communicate with the public (Discourage non-essential travels)"
2020-01-29,"(i) Case identification, contact tracing and related measures","Surveillance (Implement community-based surveillance)"
2020-01-30,"(v) Risk communication","Educate and actively communicate with the public (Encourage hand hygiene); Educate and actively communicate with the public (Encourage self-initiated quarantine); Educate and actively communicate with the public (Statement on the country level alert)"
2020-01-31,"(i) Case identification, contact tracing and related measures","Tracing and tracking (Case tracking)"
2020-01-31,"(vi) Social distancing","Return operation of nationals (Return operation of nationals in Wuhan and/or Hubei)"
2020-02-03,"(iii) Healthcare and public health capacity","Research (Vaccine and antiviral development)"
2020-02-03,"(v) Risk communication","Educate and actively communicate with the public (Respiratory etiquette); Educate and actively communicate with the public (Encourage hand hygiene)"
2020-02-07,"(iii) Healthcare and public health capacity","Enhance laboratory testing capacity (Increase laboratory facilities)"
2020-02-09,"(vi) Social distancing","Return operation of nationals (Return operation of nationals in Wuhan and/or Hubei)"
2020-02-10,"(iii) Healthcare and public health capacity","Increase isolation and quarantine facilities (Three facilities)"
2020-02-10,"(iv) Resource allocation","Emergency laws (Enacting compulsory quarantine for suspected cases and cases); Emergency laws (Enacting restrictions and requirements in the context of covid-19)"
2020-02-22,"(vi) Social distancing","Return operation of nationals (Return operation of nationals on the Diamond Princess cruise ship)"
2020-02-26,"(i) Case identification, contact tracing and related measures","Surveillance (Hospital-based severe acute respiratory infection (SARI) surveillance)"
2020-03-02,"(iv) Resource allocation","Provide international help (Donate medical equipment)"
2020-03-03,"(v) Risk communication","Educate and actively communicate with the public (Communicate about the state of the country); Educate and actively communicate with the public (Encourage hand hygiene)"
2020-03-04,"(iv) Resource allocation","Crisis management plans (Develop all-of-society and business continuity plans)"
2020-03-05,"(i) Case identification, contact tracing and related measures","Activate case notification (Covid-19 as a notifiable disease)"
2020-03-06,"(iii) Healthcare and public health capacity","Research (Vaccine and antiviral development)"
2020-03-09,"(iv) Resource allocation","Emergency response mechanisms (Risk management plan)"
2020-03-11,"(iv) Resource allocation","Provide international help (Funding to support global efforts)"
2020-03-11,"(v) Risk communication","Educate and actively communicate with the public (Direct government communication)"
2020-03-11,"(vi) Social distancing","Return operation of nationals (Return operation of nationals on the Grand Princess cruise ship)"
2020-03-12,"(v) Risk communication","Educate and actively communicate with the public (Direct advice to vulnerable populations); Educate and actively communicate with the public (Statement on the country level alert); Educate and actively communicate with the public (Encourage self-initiated quarantine)"
2020-03-13,"(v) Risk communication","Actively communicate with stakeholders (Guidelines); Travel alert and warning (Warning against travel to and return from high risk areas)"
2020-03-13,"(vi) Social distancing","Mass gathering cancellation (Elections postponed)"
2020-03-15,"(v) Risk communication","Educate and actively communicate with the public (Information campaign)"
2020-03-16,"(iv) Resource allocation","Crisis management plans (State aid, taxation and social security)"
