2020-01-24,"(v) Risk communication","Educate and actively communicate with the public (Encourage hand hygiene)"
2020-01-26,"(v) Risk communication","Educate and actively communicate with the public (Respiratory etiquette)"
2020-02-07,"(i) Case identification, contact tracing and related measures","Quarantine (All incomings from high-risk areas)"
2020-02-09,"(vii) Travel restriction","Airport restriction (Landing bans on aircrafts from high risk areas)"
2020-02-24,"(v) Risk communication","Travel alert and warning (Warning against travel to and return from high risk areas)"
2020-02-26,"(v) Risk communication","Travel alert and warning (Warning against travel to and return from high risk areas)"
2020-02-29,"(v) Risk communication","Educate and actively communicate with the public (Answer to questions); Educate and actively communicate with the public (Encourage self-initiated quarantine)"
2020-03-02,"(vi) Social distancing","Measures for special populations (Measures to limit contact to hospital patients)"
2020-03-02,"(vii) Travel restriction","Airport restriction (Landing bans on aircrafts from high risk areas)"
2020-03-03,"(vii) Travel restriction","Airport restriction (Landing bans on aircrafts from high risk areas)"
2020-03-04,"(iii) Healthcare and public health capacity","Increase availability of PPE (Prohibition of export of protective personal equipment)"
2020-03-04,"(vi) Social distancing","Mass gathering cancellation (Limit up to 5000 persons)"
2020-03-06,"(i) Case identification, contact tracing and related measures","Quarantine (All incomings from high-risk areas)"
2020-03-07,"(i) Case identification, contact tracing and related measures","Quarantine (All incomings from high-risk areas)"
2020-03-08,"(v) Risk communication","Educate and actively communicate with the public (Respiratory etiquette)"
2020-03-09,"(vi) Social distancing","Measures for special populations (Measures to limit contact to hospital patients)"
2020-03-10,"(vi) Social distancing","Mass gathering cancellation (Limit up to 100 persons)"
2020-03-11,"(i) Case identification, contact tracing and related measures","Border health check (Health screening)"
2020-03-11,"(vi) Social distancing","Closure of educational institutions (Complete closure of primary and secondary schools); Closure of educational institutions (Complete closure of universities)"
2020-03-12,"(v) Risk communication","Educate and actively communicate with the public (Answer to questions)"
2020-03-13,"(vi) Social distancing","Mass gathering cancellation (Cultural places and events); Mass gathering cancellation (Indoor activities); Small gathering cancellation (Limit up to 30 persons); Mass gathering cancellation (Sport events); Small gathering cancellation (Closure of restaurants/bars/cafes)"
2020-03-13,"(vii) Travel restriction","Border restriction (Entry ban to people from China); Border restriction (Entry ban to people from high-risk areas other than China)"
2020-03-14,"(i) Case identification, contact tracing and related measures","Activate case notification (Covid-19 as a notifiable disease); Quarantine (All incomings from high-risk areas)"
2020-03-14,"(iv) Resource allocation","Emergency response mechanisms (Declare state of emergency)"
2020-03-14,"(v) Risk communication","Call for return of nationals living abroad ()"
2020-03-14,"(vi) Social distancing","Small gathering cancellation (Closure of non-essential shops)"
2020-03-14,"(vii) Travel restriction","Border restriction (Entry ban to non-citizens); Non-essential travels forbidden ()"
2020-03-15,"(v) Risk communication","Educate and actively communicate with the public (Answer to questions); Educate and actively communicate with the public (Recommendation for home office); Educate and actively communicate with the public (Recommendation for cashless operations)"
2020-03-15,"(vi) Social distancing","Small gathering cancellation (Complete prohibition of gathering)"
2020-03-15,"(vii) Travel restriction","Individual movement restrictions (Non-essential movements forbidden)"
2020-03-16,"(vii) Travel restriction","National lockdown ()"
2020-03-18,"(iii) Healthcare and public health capacity","Increase in medical supplies and equipment (Ban on exportation of medical equipment and drugs); Personal protective measures (Mandatory use of masks)"
2020-03-18,"(vi) Social distancing","Measures for special populations (Measures to limit contact to the elderly)"
2020-03-20,"(vii) Travel restriction","Individual movement restrictions (Non-essential movements forbidden)"
2020-03-21,"(iii) Healthcare and public health capacity","Increase availability of PPE (Face masks); Enhance laboratory testing capacity (Increase testing capacity (number tests))"
2020-03-23,"(iii) Healthcare and public health capacity","Enhance laboratory testing capacity (Increase testing capacity (number tests))"
2020-03-23,"(vii) Travel restriction","Individual movement restrictions (Non-essential movements forbidden)"
2020-03-24,"(ii) Environmental measures","Approval of new biocidal product ()"
2020-03-25,"(iii) Healthcare and public health capacity","Reduce the burden on health system (No more patient accepted in rehabilitation centers)"
2020-03-25,"(v) Risk communication","Educate and actively communicate with the public (Respiratory etiquette)"
2020-03-25,"(vi) Social distancing","Small gathering cancellation (Limit up to 2 persons)"
2020-03-26,"(v) Risk communication","Educate and actively communicate with the public (Launch psychic emergency helpline)"
2020-03-26,"(vi) Social distancing","Small gathering cancellation (Closure of non-essential shops)"
2020-03-26,"(viii) Returning to normal life","Conditional re-opening of certain shops (Foodstuffs, fuels, fuels, sanitary ware, medicines, medical devices, pet supplies, spectacles and lenses, tobacco products, newspapers and magazines)"
2020-03-27,"(v) Risk communication","Educate and actively communicate with the public (Respiratory etiquette)"
2020-03-27,"(vi) Social distancing","Measures for special populations (Measures to limit contact to hospital patients)"
2020-03-29,"(i) Case identification, contact tracing and related measures","Enhance detection system (Targeted testing)"
2020-03-30,"(iii) Healthcare and public health capacity","Personal protective measures (Mandatory use of masks)"
2020-03-30,"(vi) Social distancing","Small gathering cancellation (Closure of non-essential shops)"
2020-03-30,"(vii) Travel restriction","Individual movement restrictions (Non-essential movements forbidden)"
2020-04-06,"(iii) Healthcare and public health capacity","Increase availability of PPE (Face masks)"
2020-04-09,"(i) Case identification, contact tracing and related measures","Enhance detection system (Targeted testing)"
2020-04-09,"(v) Risk communication","Actively communicate with stakeholders (Encourage disinfection of the environment)"
2020-04-20,"(i) Case identification, contact tracing and related measures","Surveillance (Implement sentinel study)"
2020-04-20,"(iv) Resource allocation","Crisis management plans (Develop all-of-society and business continuity plans)"
