"","Country","2020-01-25","2020-01-26","2020-01-27","2020-01-28","2020-01-29","2020-01-30","2020-01-31","2020-02-01","2020-02-02","2020-02-03","2020-02-04","2020-02-05","2020-02-06","2020-02-07","2020-02-08","2020-02-09","2020-02-10","2020-02-11","2020-02-12","2020-02-13","2020-02-14","2020-02-15","2020-02-16","2020-02-17","2020-02-18","2020-02-19","2020-02-20","2020-02-21","2020-02-22","2020-02-23","2020-02-24","2020-02-25","2020-02-26","2020-02-27","2020-02-28","2020-02-29","2020-03-01","2020-03-02","2020-03-03","2020-03-04","2020-03-05","2020-03-06","2020-03-07","2020-03-08","2020-03-09","2020-03-10","2020-03-11","2020-03-12","2020-03-13","2020-03-14","2020-03-15","2020-03-16","2020-03-17","2020-03-18","2020-03-19","2020-03-20","2020-03-21","2020-03-22","2020-03-23","2020-03-24","2020-03-25","2020-03-26","2020-03-27","2020-03-28","2020-03-29","2020-03-30","2020-03-31","2020-04-01","2020-04-02","2020-04-03","2020-04-04","2020-04-05","2020-04-06","2020-04-07","2020-04-08","2020-04-09","2020-04-10","2020-04-11","2020-04-12","2020-04-13","2020-04-14","2020-04-15","2020-04-16","2020-04-17","2020-04-18","2020-04-19","2020-04-20","2020-04-21","2020-04-22","2020-04-23","2020-04-24","2020-04-25","2020-04-26","2020-04-27","2020-04-28","2020-04-29","2020-04-30","2020-05-01","2020-05-02","2020-05-03","2020-05-04","2020-05-05","2020-05-06","2020-05-07","2020-05-08","2020-05-09","2020-05-10","2020-05-11","2020-05-12","2020-05-13","2020-05-14","2020-05-15","2020-05-16","2020-05-17","2020-05-18","2020-05-19","2020-05-20","2020-05-21","2020-05-22","2020-05-23","2020-05-24","2020-05-25","2020-05-26","2020-05-27","2020-05-28","2020-05-29","2020-05-30","2020-05-31","2020-06-01","2020-06-02","2020-06-03","2020-06-04","2020-06-05","2020-06-06","2020-06-07"
"1","Albania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,10,10,23,33,38,42,51,55,59,70,70,76,89,123,146,174,186,197,212,223,223,243,277,277,333,333,377,377,400,409,416,416,446,446,475,475,494,518,548,548,562,609,634,634,678,678,712,726,736,766,773,773,789,795,795,803,832,832,850,856,868,868,872,876,880,898,933,946,948,948,964,969,969,981,989,1004,1029,1050,1099,1076,1122,1136,1143,1164,1176,1197,1212,1232,1246
"2","Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,4,5,10,10,18,24,37,47,66,104,112,131,182,302,361,504,800,959,1132,1332,1646,1843,2649,3024,3631,4486,5282,5888,7029,7697,8291,8813,9618,10182,10711,11129,11525,11766,11983,12297,12640,12969,13248,13560,13807,13937,14043,14234,14370,14448,14603,14662,14710,14783,14833,14924,14985,15068,15134,15189,15256,15314,15364,15457,15531,15558,15597,15621,15586,15651,15673,15735,15777,15787,15874,15910,15964,16005,16068,16140,16154,16179,16257,16275,16332,16361,16407,16439,16459,16497,16543,16515,16594,16638,16642,16663,16674,16705,16741,16803,16822
"3","Belgium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,8,23,50,109,169,200,239,267,314,314,599,689,1085,1085,1486,1486,1795,2257,2815,3401,3743,4269,4937,6235,7284,9134,10836,11899,12775,13964,15348,16770,18431,19691,20814,22194,23403,24983,26667,28018,29647,30589,31119,33573,34809,36138,37183,38496,39983,40956,41889,42797,44293,45325,46134,46687,47334,47859,48519,49032,49517,49906,50267,50509,50781,51420,52011,52596,53081,53449,53779,53981,54288,54644,54989,55280,55559,55791,55983,56235,56511,56810,57092,57342,57455,57849,57592,58061,58186,58381,58517,58615,58685,58767,58907,59072
"4","Bosnia and Herzegovina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,4,4,4,11,18,18,19,19,36,44,44,92,125,131,164,173,213,233,269,325,359,413,464,521,586,632,662,695,781,816,875,901,948,1007,1034,1086,1116,1169,1210,1268,1286,1300,1340,1367,1413,1428,1485,1516,1564,1588,1689,1757,1757,1757,1857,1926,1968,2017,2027,2070,2070,2098,2142,2162,2181,2216,2237,2265,2289,2303,2319,2334,2352,2371,2371,2391,2405,2415,2462,2415,2484,2493,2509,2523,2534,2550,2593,2605,2645
"5","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,2,2,2,3,7,13,19,25,25,34,52,77,98,121,200,234,234,291,428,621,904,904,1546,2201,2433,2433,2915,3417,3904,4256,4579,5717,6836,7910,9056,10278,11130,12056,13717,15927,17857,19638,20727,22169,23430,25262,28320,30425,33682,36599,38654,40581,43079,45757,49492,52995,58509,61888,66501,71886,78162,85380,91589,96559,101147,107780,114715,125218,135106,145328,155939,162699,168331,177589,188974,202918,218223,233142,241080,254220,271628,291579,310087,330890,347398,363211,374898,411821,391222,438238,465166,498440,514849,526447,555383,584016,614941,645771
"6","Canada",NA,NA,1,2,3,3,3,4,4,4,4,5,5,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,9,9,10,10,11,11,14,19,19,27,30,30,45,51,57,62,77,93,93,138,176,244,304,424,424,569,736,846,1048,1384,1432,1739,3409,3555,4018,4757,5655,6317,7695,9005,10114,11732,12938,13904,15806,17049,18433,19759,21226,22544,23702,24786,26146,27540,28884,30659,32400,33909,35383,37374,38923,40813,42739,44353,45778,47316,49014,50363,52056,53657,55572,59365,59844,61159,62458,63895,65399,66780,67996,69156,70342,71486,72536,73829,74993,76204,77306,78499,79502,80555,81765,82892,84081,85103,85998,87902,86939,88856,89741,90516,91351,92151,92748,93441,94070,94335
"7","Croatia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,5,7,7,8,9,9,10,11,11,11,12,16,16,16,27,37,49,56,65,81,81,126,206,235,306,382,418,495,586,657,713,790,867,963,1011,1079,1126,1182,1222,1282,1343,1407,1495,1534,1600,1650,1704,1741,1791,1814,1832,1871,1881,1908,1950,1981,2009,2016,2030,2039,2047,2062,2076,2085,2088,2096,2101,2112,2119,2125,2161,2176,2187,2196,2207,2213,2221,2222,2224,2226,2228,2232,2234,2237,2243,2243,2244,2244,2244,2245,2244,2245,2246,2246,2246,2246,2246,2247,2247,2247
"8","Czechia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,5,5,12,12,26,32,38,61,94,116,150,214,298,383,434,522,694,904,995,1165,1236,1394,1654,2062,2279,2663,2829,3002,3308,3589,3858,4190,4472,4587,4822,5017,5312,5569,5732,5902,5991,6059,6141,6303,6433,6549,6654,6787,6914,7041,7136,7188,7273,7352,7404,7449,7504,7579,7682,7737,7755,7781,7819,7896,7974,8031,8077,8095,8123,8176,8221,8269,8351,8406,8455,8475,8586,8647,8721,8754,8813,8890,8957,9002,9050,9140,9086,9196,9230,9273,9302,9364,9438,9494,9529,9567
"9","Denmark",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,3,4,5,8,10,18,23,31,36,90,262,615,674,801,827,898,960,977,1044,1132,1255,1326,1395,1460,1591,1724,1877,2046,2201,2395,2577,2860,3107,3386,3757,4077,4369,4681,5071,5402,5635,5819,5996,6174,6318,6511,6681,6879,7073,7242,7384,7515,7695,7912,8073,8210,8445,8575,8698,8851,9008,9158,9311,9407,9523,9670,9821,9983,10083,10218,10319,10429,10513,10591,10667,10713,10791,10858,10927,10968,11044,11117,11182,11230,11289,11360,11387,11428,11512,11480,11593,11633,11669,11699,11734,11771,11811,11875,11924
"10","Ecuador",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,6,7,7,13,14,14,15,15,15,17,17,23,23,37,58,58,155,199,367,506,532,790,1049,1211,1211,1595,1823,1835,1962,2240,2372,3163,3163,3465,3465,3747,3747,4450,4965,7161,7257,7466,7529,7603,7858,8225,8450,9022,9468,10128,10398,10850,11183,22719,22719,22719,23240,24258,24675,24934,26336,27464,29538,31881,31881,29420,30298,30298,28818,29559,29509,30419,30486,30502,30502,31467,32723,33182,34151,34151,34854,35828,36258,36756,37355,37355,38471,38103,38571,38571,39098,39098,40414,40966,40966,42106,42728
